country,name_of_initiative,website
South Africa,Science Spaza,https://hiphopu.org.za/
South Africa,Hip Hop U,https://hiphopu.org.za/
Ghana,Global Lab Network,https://glabghana.wordpress.com
Ghana,GhScientific,https://ghscientific.com/
Uganda,Science Stories Africa,https://sciencestoriesafrica.com/
Kenya,Young Engineers Kenya,https://www.kenya.youngengineers.co.ke/
Egypt,Nutty Scientists- Egypt,https://nuttyscientists-egypt.com
Togo,MOBILELABO,https://www.mobilelabo.tg/
Kenya,In Lab by Global Minimum Inc  (Gmin),http://gmin.org/
Sierra Leone,In Lab by Global Minimum Inc  (Gmin),http://gmin.org/
Tanzania,Projekt inspire,https://projektinspire.co.tz/
Nigeria,WAAW (Working to Advance Science and Technology Education for African Women),https://waawfoundation.org/
Rwanda,WAAW (Working to Advance Science and Technology Education for African Women),https://waawfoundation.org/
Nigeria,Center 4 Tech,https://center4tech.com/
Nigeria,SHE Initiative by Christopher Kolade Foundation,https://ckf.org.ng/
Mali,iNERDE,https://inerde.org/
Senegal,iNERDE,https://inerde.org/
Uganda,Fundi Bots,http://fundibots.org/
Tanzania,Ubongo Kids Show  by Ubongo,https://ubongokids.com/
Uganda,Yiya Solutions,https://yiyasolutions.org/
Uganda,Oysters and Pearls,http://www.oystersandpearls.org/
Kenya,Super Sema,https://www.supersema.com/
South Africa,Super Scientist,https://www.superscientists.org/
Ghana,The Exploratory,https://the-exploratory.org/
Madagascar,Ikala STEM,https://www.ikalastem.org/
Kenya,Funkie Science,https://funkescience.co.ke/
Malawi,The Root of the Science Podcast,https://rootofthesciencepodcast.buzzsprout.com/
Kenya,Travelling Telescope,https://travellingtelescope.co.uk/
Egypt,Funlab by American University in Cairo,https://sse.aucegypt.edu/departments/physics/outreach
Libya,Lybotics,https://www.lybotics.com/
Kenya,Little Einsteins East Africa,https://www.littleeinsteinsea.com/
Rwanda,Little Einsteins East Africa,https://www.littleeinsteinsea.com/
Ghana,Practical Education Network (PEN),https://www.practicaleducationnetwork.com/
Kenya,STEM Impact Center Kenya,https://stemimpactcenterkenya.org
Tanzania,ResearchCOM,https://researchcom.africa/
Kenya,The Vulnerable Scientist Podcast,https://thevulnerablescientist.com/
Kenya,Baroji,https://www.youtube.com/@tunyamu
